id,title,assignee,priority,estimate,start,end,dependencies,status,description
1,Task1,person1,1,1,2021-10-03,2021-10-25,,done,This is an important task
2,Task2,person1,1,1,2021-10-03,2021-11-02,1,done,This is also important
3,Task3,person2,1,1,2021-10-03,2021-11-15,1;2,todo,This canâ€™t be done until a couple other things are done
4,Task4,person3,1,1,2021-10-03,2021-12-25,3,todo,This is going to take a while
5,Task5,person4,1,1,2021-10-03,2021-10-25,,todo,Go for it!
6,Task6,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
7,Task7,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
8,Task8,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
9,Task9,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
10,Task10,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
11,Task11,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
12,Task12,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
13,Task13,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
14,Task14,person1,1,1,2021-10-03,2021-10-25,,todo,This is an important task
